car_name,year,horsepower,mileage,fuel_type,transmission,owner_type,price
maruti wagon r lxi cng,2010,58.16,26.6,cng,manual,first,1.75
hyundai creta 1.6 crdi sx option,2015,126.2,19.67,diesel,manual,first,12.5
honda jazz v,2011,88.7,18.2,petrol,manual,first,4.5
maruti ertiga vdi,2012,88.76,20.77,diesel,manual,first,6.0
audi a4 new 2.0 tdi multitronic,2013,140.8,15.2,diesel,automatic,second,17.74
hyundai eon lpg era plus option,2012,55.2,21.1,lpg,manual,first,2.35
nissan micra diesel xv,2013,63.1,23.08,diesel,manual,first,3.5
toyota innova crysta 2.8 gx at 8s,2016,171.5,11.36,diesel,automatic,first,17.5
volkswagen vento diesel comfortline,2013,103.6,20.54,diesel,manual,first,5.2
tata indica vista quadrajet ls,2012,74.0,22.3,diesel,manual,second,1.95
maruti ciaz zeta,2018,103.25,21.56,petrol,manual,first,9.95
honda city 1.5 v at sunroof,2012,116.3,16.8,petrol,automatic,first,4.49
maruti swift vdi bsiv,2015,74.0,25.2,diesel,manual,first,5.6
land rover range rover 2.2l pure,2014,187.7,12.7,diesel,automatic,first,27.0
land rover freelander 2 td4 se,2012,115.0,0.0,diesel,automatic,second,17.5
mitsubishi pajero sport 4x4,2014,175.56,13.5,diesel,manual,first,15.0
honda amaze s i-dtech,2016,98.6,25.8,diesel,manual,first,5.4
maruti swift ddis vdi,2017,74.0,28.4,diesel,manual,first,5.99
renault duster 85ps diesel rxl plus,2014,83.8,20.45,diesel,manual,first,6.34
mercedes-benz new c-class c 220 cdi be avantgare,2014,167.62,14.84,diesel,automatic,first,28.0
bmw 3 series 320d,2014,190.0,22.69,diesel,automatic,first,18.55
maruti s cross ddis 200 alpha,2015,88.5,23.65,diesel,manual,second,8.25
audi a6 2011-2015 35 tfsi technology,2015,177.01,13.53,petrol,automatic,first,23.5
hyundai i20 1.2 magna,2010,80.0,18.5,petrol,manual,first,1.87
volkswagen vento petrol highline at,2010,103.6,14.4,petrol,automatic,first,2.85
honda city corporate edition,2012,116.3,16.8,petrol,manual,first,4.25
nissan micra diesel xv,2012,63.1,23.08,diesel,manual,first,4.25
maruti alto k10 2010-2014 vxi,2013,67.1,20.92,petrol,manual,second,2.75
honda wrv i-vtec vx,2018,88.7,17.5,petrol,manual,first,9.9
toyota innova 2.5 v diesel 7-seater,2007,102.0,12.8,diesel,manual,fourth+,4.0
renault duster 110ps diesel rxz pack,2013,108.45,19.01,diesel,manual,first,7.75
toyota corolla altis g,2012,138.1,14.53,petrol,manual,first,6.75
mahindra ssangyong rexton rx7,2013,184.0,11.18,diesel,automatic,second,12.5
audi a6 2.7 tdi,2010,179.5,12.4,diesel,automatic,first,11.5
volkswagen vento 1.6 highline,2014,103.5,16.09,petrol,manual,second,6.98
maruti wagon r lxi bsiii,2009,64.0,14.0,petrol,manual,second,1.85
maruti vitara brezza zdi plus,2018,88.5,24.3,diesel,manual,first,8.63
mahindra kuv 100 mfalcon g80 k6 5str aw,2017,82.0,18.15,petrol,manual,first,4.85
mercedes-benz m-class ml 350 cdi,2013,254.8,11.74,diesel,automatic,first,28.0
volkswagen polo diesel trendline 1.2l,2013,73.9,22.07,diesel,manual,first,5.0
maruti alto lxi,2008,46.3,19.7,petrol,manual,second,1.25
tata nano lx se,2014,37.5,25.4,petrol,manual,first,1.53
mahindra kuv 100 mfalcon d75 k8 dual tone,2017,77.0,25.32,diesel,manual,first,5.58
hyundai i20 magna optional 1.2,2014,82.9,18.5,petrol,manual,first,4.74
hyundai elantra 2.0 sx option at,2014,149.92,14.62,petrol,automatic,first,8.85
toyota corolla altis g at,2016,138.03,14.28,petrol,automatic,first,10.11
hyundai elantra crdi,2008,112.2,14.9,diesel,manual,second,4.25
toyota innova crysta 2.7 gx mt,2012,163.7,11.25,petrol,manual,first,10.95
hyundai xcent 1.1 crdi s,2014,71.0,24.4,diesel,manual,first,3.85
mahindra thar crde ac,2012,105.0,16.55,diesel,manual,second,5.5
audi a4 2.0 tdi 177 bhp premium plus,2015,174.33,17.11,diesel,automatic,first,21.43
maruti swift ldi,2014,74.0,22.9,diesel,manual,first,4.25
maruti swift ldi bsiv,2014,75.0,17.8,diesel,manual,first,3.3
maruti swift vdi,2013,74.0,28.4,diesel,manual,first,3.85
hyundai grand i10 sportz,2015,82.0,18.9,petrol,manual,third,3.6
volkswagen vento 2013-2015 1.6 comfortline,2015,103.2,15.04,petrol,manual,first,3.99
renault kwid rxt,2017,53.3,25.17,petrol,manual,first,3.3
hyundai i10 asta,2010,78.9,20.36,petrol,manual,first,2.07
nissan x-trail slx at,2010,147.6,13.29,diesel,automatic,first,7.75
maruti zen estilo vxi bsiii,2010,67.1,18.2,petrol,manual,first,2.25
toyota innova crysta 2.4 gx mt 8s,2017,147.8,13.68,diesel,manual,first,16.5
ford figo diesel titanium,2010,68.0,20.0,diesel,manual,first,2.75
mercedes-benz new c-class c 200 cgi avantgarde,2015,186.0,11.74,petrol,automatic,first,26.7
mercedes-benz new c-class 200 cdi classic,2011,170.0,15.8,diesel,manual,second,10.0
tata indica v2 els,2016,69.0,25.0,diesel,manual,first,2.5
audi a4 2.0 tdi multitronic,2012,140.0,16.55,diesel,automatic,first,13.5
honda city zx cvt,2007,78.0,16.4,petrol,automatic,second,1.85
mercedes-benz c-class progressive c 220d,2019,194.0,0.0,diesel,automatic,first,35.67
maruti ertiga shvs vdi,2016,88.5,24.52,diesel,manual,first,8.15
hyundai creta 1.4 e plus diesel,2018,88.7,22.1,diesel,manual,first,10.5
porsche cayenne 2009-2014 turbo,2008,500.0,8.5,petrol,automatic,first,14.5
mahindra xuv500 w8 4wd,2015,140.0,15.1,diesel,manual,first,9.65
hyundai i10 sportz 1.2 at,2012,78.9,16.95,petrol,automatic,first,3.48
nissan terrano xv d pre,2015,108.5,19.64,diesel,manual,first,6.92
honda brio vx at,2016,86.8,16.5,petrol,automatic,second,6.46
audi a6 2.0 tdi design edition,2014,187.74,18.53,diesel,automatic,second,29.5
ford fiesta 1.4 sxi tdci,2008,97.7,17.8,diesel,manual,first,2.0
toyota innova 2.0 g1,2006,132.0,12.4,petrol,manual,third,4.5
toyota innova 2.5 vx 7 str bsiv,2012,102.0,12.8,diesel,manual,first,11.75
