car_name,year,horsepower,mileage,fuel_type,transmission,owner_type,price
891,-1.163156663319665,-1.209591711230664,-0.7054449373538618,0,1,0,1.75
479,0.17187156146179974,0.5241339697275947,-0.7056067535860912,1,1,0,12.5
32,-0.8961510183633721,-0.43140267101218627,-0.7056410782414124,4,1,0,4.5
1793,-0.6291453734070791,-0.42987381238700256,-0.7055810684698642,1,1,0,6.0
439,-0.3621397284507862,0.8961562351889497,-0.7057111285583948,1,0,2,17.74
2239,-0.6291453734070791,-1.2850154034063905,-0.7055733629349962,3,1,0,2.35
2418,-0.3621397284507862,-1.0837156844238767,-0.7055271297257878,1,1,0,3.5
1534,0.43887720641809275,1.6784222317412503,-0.7058007929641322,1,0,0,17.5
1913,-0.3621397284507862,-0.05173611242491352,-0.7055864389941662,1,1,0,5.2
2858,-0.6291453734070791,-0.8059730341821805,-0.7055453428082032,1,1,2,1.95
861,0.9728884963306788,-0.06065445440515133,-0.7055626218863922,4,1,0,9.95
90,-0.6291453734070791,0.2718722965722924,-0.7056737683893375,4,0,0,4.49
1154,0.17187156146179974,-0.8059730341821805,-0.7054776275017869,1,1,0,5.6
2028,-0.09513408349449333,2.0912140605408354,-0.7057695038225468,1,0,0,27.0
881,-0.6291453734070791,0.23874702635998002,-0.7060660501644387,1,0,2,17.5
2358,-0.09513408349449333,1.7818749987120106,-0.7057508237380181,1,1,0,15.0
1380,0.43887720641809275,-0.17914099785688434,-0.7054636174383905,1,1,0,5.4
249,0.7058828513743858,-0.8059730341821805,-0.7054029071636724,1,1,0,5.99
2706,-0.09513408349449333,-0.5562594587355177,-0.7055885405036756,1,1,0,6.34
1980,-0.09513408349449333,1.579556040646041,-0.7057195345964327,1,0,0,28.0
1520,-0.09513408349449333,2.1498203078395424,-0.7055362362669955,1,0,0,18.55
2448,0.17187156146179974,-0.43649886642946517,-0.7055138201655611,1,1,2,8.25
928,0.17187156146179974,1.8188224154872819,-0.7057501232348483,4,0,0,23.5
2607,-1.163156663319665,-0.6530871716638155,-0.7056340732097142,4,1,0,1.87
468,-1.163156663319665,-0.05173611242491352,-0.7057298086429233,4,0,0,2.85
203,-0.6291453734070791,0.2718722965722924,-0.7056737683893375,4,1,0,4.25
2418,-0.6291453734070791,-1.0837156844238767,-0.7055271297257878,1,1,0,4.25
746,-0.3621397284507862,-0.9817917760783003,-0.7055775659540151,4,1,2,2.75
2895,0.9728884963306788,-0.43140267101218627,-0.705657423315375,4,1,0,9.9
2910,-1.964173598188544,-0.09250567576314403,-0.7057671688119806,1,1,1,4.0
2672,-0.3621397284507862,0.07184662644409838,-0.7056221646558272,1,1,0,7.75
372,-0.6291453734070791,0.8273575970556851,-0.7057267731291875,4,1,0,6.75
1936,-0.3621397284507862,1.9969344453211773,-0.7058049959831512,1,0,2,12.5
650,-1.163156663319665,1.8822700484324035,-0.7057765088542449,1,0,0,11.5
2032,-0.09513408349449333,-0.05428421013355279,-0.7056903469643567,4,1,2,6.98
1242,-1.430162308275958,-1.060782805046122,-0.7057391486851877,4,1,2,1.85
1941,0.9728884963306788,-0.43649886642946517,-0.7054986425968817,1,1,0,8.63
1616,0.7058828513743858,-0.6021252174910272,-0.7056422457466954,4,1,0,4.85
614,-0.3621397284507862,3.800987623037884,-0.705791919923981,1,0,0,28.0
2796,-0.3621397284507862,-0.8085211318908198,-0.7055507133325052,1,1,0,5.0
1125,-1.697167953232251,-1.5117960994752988,-0.7056060530829212,4,1,2,1.25
884,-0.09513408349449333,-1.7360286978355672,-0.7054729574806547,4,1,0,1.53
1601,0.7058828513743858,-0.729530102922998,-0.7054748254891077,1,1,0,5.58
975,-0.09513408349449333,-0.5791923381132723,-0.7056340732097142,4,1,0,4.74
1346,-0.09513408349449333,1.1285427462168638,-0.7057246716196781,4,0,0,8.85
387,0.43887720641809275,0.8255739286596376,-0.7057326106556028,4,0,0,10.11
1351,-1.697167953232251,0.16740029051807645,-0.7057181335900929,1,1,2,4.25
1309,-0.6291453734070791,1.4796706104673754,-0.7058033614757548,4,1,0,10.95
738,-0.09513408349449333,-0.8824159654413629,-0.7054963075863155,1,1,0,3.85
1952,-0.6291453734070791,-0.016062744503961557,-0.7056796059157527,1,1,2,5.5
1450,0.17187156146179974,1.750533396895746,-0.7056665298565826,1,0,0,21.43
692,-0.09513408349449333,-0.8059730341821805,-0.7055313327448067,1,1,0,4.25
756,-0.09513408349449333,-0.7804920570957863,-0.7056504182836768,1,1,0,3.3
1064,-0.3621397284507862,-0.8059730341821805,-0.7054029071636724,1,1,0,3.85
965,0.17187156146179974,-0.6021252174910272,-0.7056247331674498,4,1,3,3.6
1716,0.17187156146179974,-0.06192850325947097,-0.7057148645753005,4,1,0,3.99
2835,0.7058828513743858,-1.3334292598705397,-0.7054783280049568,4,1,0,3.3
2006,-1.163156663319665,-0.6811162464588489,-0.7055906420131851,4,1,0,2.07
2573,-1.163156663319665,1.0694268793764297,-0.7057557272602069,1,0,0,7.75
2130,-1.163156663319665,-0.9817917760783003,-0.7056410782414124,4,1,0,2.25
434,0.7058828513743858,1.074523074793709,-0.7057466207189992,1,1,0,16.5
1126,-1.163156663319665,-0.9588588967005455,-0.705599048051223,1,1,0,2.75
462,0.17187156146179974,2.0478963994939656,-0.705791919923981,4,0,0,26.7
1727,-0.8961510183633721,1.6402007661116589,-0.7056971184949983,1,1,2,10.0
2666,0.43887720641809275,-0.9333779196141513,-0.705482297522919,1,1,0,2.5
1050,-0.6291453734070791,0.8757714535198341,-0.7056796059157527,1,0,0,13.5
1327,-1.964173598188544,-0.7040491258366038,-0.7056831084316018,4,0,2,1.85
492,1.2398941412869717,2.251744216185119,-0.7060660501644387,1,0,0,35.67
1732,0.43887720641809275,-0.43649886642946517,-0.7054935055736362,1,1,0,8.15
395,0.9728884963306788,-0.43140267101218627,-0.7055500128293354,1,1,0,10.5
2588,-1.697167953232251,10.048923204621731,-0.7058675742663221,4,0,0,14.5
